slot,timestamp,action_count,adds,removes,actions,placement_before,placement_after,demand,attachment_points,total_requests,demand_pairs,covered_pairs_after,uncovered_pairs_after,coverage_ratio_after,objective,R_nominal,B_nominal,R_wc,B_wc,Op_cost,solve_time,status
11,10,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@1=1;4@2=1;5@6=1,"1,2,6",3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
12,11,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@3=1,3,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
13,12,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@6=1;3@8=1;4@0=1;5@8=1,"6,8,0",4,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
14,13,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@4=1;2@9=1;4@5=1,"4,9,5",3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
15,14,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@6=1;4@6=1;4@2=2;5@1=1,"6,2,1",5,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
16,15,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@0=1;2@2=1;4@5=1,"0,2,5",3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
17,16,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@2=1;4@3=1,"2,3",2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
18,17,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@4=1,4,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
19,18,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,5@2=1,2,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
20,19,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@0=1;6@2=1;6@7=2,"0,2,7",4,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
21,20,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@9=1;4@4=1,"9,4",2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
22,21,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@0=1;4@2=1;4@4=1,"0,2,4",3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
23,22,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@1=1;4@2=2;4@7=1,"1,2,7",4,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
24,23,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,5@9=1;6@3=1,"9,3",2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
25,24,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@2=1;5@2=1;5@6=1;6@1=1,"2,6,1",4,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
26,25,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@5=2;4@6=2,"5,6",4,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
27,26,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@1=2;4@4=1;4@7=1;4@9=1;5@4=1,"1,4,7,9",6,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
28,27,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@7=1;6@2=1,"7,2",2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
29,28,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@0=1;2@1=1;2@2=1;2@3=1;2@6=1;4@3=1;5@5=1;6@1=2;6@6=1,"0,1,2,3,6,5",10,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
30,29,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@4=1;4@6=1;4@8=1;6@4=1,"4,6,8",4,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
31,30,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@0=1;4@2=2;4@5=1;6@2=1;6@1=1;6@8=1,"0,2,5,1,8",7,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
32,31,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@6=1;4@6=1;4@4=1;5@1=1,"6,4,1",4,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
33,32,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@4=1;4@7=1;4@8=1;5@7=1;5@1=1;6@1=1;6@0=1;6@2=1,"4,7,8,1,0,2",8,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
34,33,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@4=1,4,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
35,34,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@3=1;4@6=1;6@4=1;6@9=1,"3,6,4,9",4,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
36,35,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@8=1;4@4=1;4@7=1;4@9=1;5@3=2;6@0=2;6@2=1;6@6=1,"8,4,7,9,3,0,2,6",10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
37,36,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@1=1;6@0=1;6@6=1,"1,0,6",3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
38,37,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@6=1;6@3=1;6@9=1,"6,3,9",3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
39,38,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@3=1;4@7=1;6@4=1,"3,7,4",3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
40,39,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@0=1;2@2=2;2@4=1;2@8=1;4@4=1;4@1=1,"0,2,4,8,1",7,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
41,40,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@1=3;4@8=1;5@4=1;6@6=1,"1,8,4,6",6,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
42,41,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@0=1;4@4=1;4@5=1;4@9=1;5@4=1;6@2=1,"0,4,5,9,2",6,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
43,42,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@6=1;6@9=1,"6,9",2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
44,43,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@2=1,2,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
45,44,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@2=1;4@4=1;4@5=1;4@8=2,"2,4,5,8",5,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
46,45,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@0=1;4@1=1;4@4=1;4@9=2;6@2=1,"0,1,4,9,2",6,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
47,46,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@4=1;4@2=1;4@8=1;5@1=1;6@5=1;6@6=1,"4,2,8,1,5,6",6,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
48,47,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@1=1;4@4=1,"1,4",2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
49,48,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@4=1;4@9=1,"4,9",2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
50,49,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@1=1;4@2=1;4@7=1;6@2=1,"1,2,7",4,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
51,50,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@0=1;4@1=1;4@7=1;5@6=1,"0,1,7,6",4,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
52,51,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@0=1;1@1=1;4@0=1;4@2=1;4@3=1;4@4=1;4@5=1;4@7=1;4@8=1;5@1=1;5@6=1,"0,1,2,3,4,5,7,8,6",11,11,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
53,52,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@5=1;5@0=1;5@1=1;6@1=1,"5,0,1",4,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
54,53,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@2=1,2,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
55,54,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@9=1;4@1=1;4@2=1;4@3=1;4@4=1;4@6=1;4@7=1;6@1=1,"9,1,2,3,4,6,7",8,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
56,55,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@1=1;3@4=1;4@7=1;6@2=1,"1,4,7,2",4,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
57,56,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@1=1;4@7=1;5@9=1;6@4=1,"1,7,9,4",4,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
58,57,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,2@1=1;2@3=1;2@4=2;2@6=2;4@2=1;5@1=1;6@0=1,"1,3,4,6,2,0",9,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
59,58,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@2=1;4@1=1;4@5=1;4@7=1;5@4=1,"2,1,5,7,4",5,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
60,59,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@1=1;4@1=1;5@2=1;5@5=1,"1,2,5",4,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
61,60,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,3@9=1;5@2=1,"9,2",2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
62,61,0,0,0,-,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,4@2=1;4@4=1,"2,4",2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feasible(status=11,gap=13.876511)"
