time_step,slot,phase,actions,placement
0,0,initial_before_any_decision,-,"server 0: 5,7,9 | server 1: 5 | server 2: - | server 3: 7,8 | server 4: 0,7,8 | server 5: 1,2,3,7,8 | server 6: 3,7 | server 7: 1,2,4,9 | server 8: 0,2,3,5,6,8,9 | server 9: 4,5"
17,17,after_slot_decision,"ADD:4,3;ADD:4,9;REMOVE:2,2;REMOVE:2,7;REMOVE:4,5;REMOVE:4,8",server 0: - | server 1: - | server 2: - | server 3: 4 | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: 4
18,18,after_slot_decision,"ADD:4,4;ADD:4,8;REMOVE:4,3;REMOVE:4,9",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 4 | server 5: - | server 6: - | server 7: - | server 8: 4 | server 9: -
19,19,after_slot_decision,"ADD:5,2;ADD:5,9;REMOVE:4,4;REMOVE:4,8",server 0: - | server 1: - | server 2: 5 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: 5
20,20,after_slot_decision,"ADD:4,0;ADD:4,7;ADD:6,7;ADD:6,9;REMOVE:5,2;REMOVE:5,9","server 0: 4 | server 1: - | server 2: - | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 4,6 | server 8: - | server 9: 6"
21,21,after_slot_decision,"ADD:2,7;ADD:2,9;ADD:4,4;ADD:4,8;REMOVE:4,0;REMOVE:4,7;REMOVE:6,7;REMOVE:6,9",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 4 | server 5: - | server 6: - | server 7: 2 | server 8: 4 | server 9: 2
22,22,after_slot_decision,"ADD:4,2;ADD:4,7;REMOVE:2,7;REMOVE:2,9;REMOVE:4,4;REMOVE:4,8",server 0: - | server 1: - | server 2: 4 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 4 | server 8: - | server 9: -
23,23,after_slot_decision,"ADD:4,9;REMOVE:4,2",server 0: - | server 1: - | server 2: - | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 4 | server 8: - | server 9: 4
24,24,after_slot_decision,"ADD:5,7;ADD:5,9;ADD:6,3;ADD:6,9;REMOVE:4,7;REMOVE:4,9","server 0: - | server 1: - | server 2: - | server 3: 6 | server 4: - | server 5: - | server 6: - | server 7: 5 | server 8: - | server 9: 5,6"
25,25,after_slot_decision,"ADD:4,2;ADD:4,9;ADD:5,8;ADD:6,1;REMOVE:5,7;REMOVE:6,3","server 0: - | server 1: 6 | server 2: 4 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: 5 | server 9: 4,5,6"
26,26,after_slot_decision,"ADD:4,5;ADD:4,8;REMOVE:4,2;REMOVE:5,8;REMOVE:5,9;REMOVE:6,1;REMOVE:6,9",server 0: - | server 1: - | server 2: - | server 3: - | server 4: - | server 5: 4 | server 6: - | server 7: - | server 8: 4 | server 9: 4
27,27,after_slot_decision,"ADD:4,6;ADD:4,7;ADD:5,4;ADD:5,8;REMOVE:4,5;REMOVE:4,8;REMOVE:4,9",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 5 | server 5: - | server 6: 4 | server 7: 4 | server 8: 5 | server 9: -
28,28,after_slot_decision,"ADD:4,9;ADD:6,2;ADD:6,9;REMOVE:4,6;REMOVE:5,4;REMOVE:5,8","server 0: - | server 1: - | server 2: 6 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 4 | server 8: - | server 9: 4,6"
29,29,after_slot_decision,"ADD:2,0;ADD:2,1;ADD:2,7;ADD:4,3;ADD:5,5;ADD:5,8;ADD:6,6;REMOVE:4,7;REMOVE:6,2","server 0: 2 | server 1: 2 | server 2: - | server 3: 4 | server 4: - | server 5: 5 | server 6: 6 | server 7: 2 | server 8: 5 | server 9: 4,6"
30,30,after_slot_decision,"ADD:4,4;ADD:4,8;ADD:6,8;REMOVE:2,0;REMOVE:2,1;REMOVE:2,7;REMOVE:4,3","server 0: - | server 1: - | server 2: - | server 3: - | server 4: 4 | server 5: 5 | server 6: 6 | server 7: - | server 8: 4,5,6 | server 9: 4,6"
31,31,after_slot_decision,"ADD:4,0;ADD:4,5;ADD:6,7;REMOVE:4,4;REMOVE:4,8;REMOVE:4,9;REMOVE:5,5;REMOVE:5,8;REMOVE:6,6;REMOVE:6,9",server 0: 4 | server 1: - | server 2: - | server 3: - | server 4: - | server 5: 4 | server 6: - | server 7: 6 | server 8: 6 | server 9: -
32,32,after_slot_decision,"ADD:3,6;ADD:3,9;ADD:4,6;ADD:4,8;ADD:5,1;ADD:5,9;REMOVE:4,0;REMOVE:4,5;REMOVE:6,7;REMOVE:6,8","server 0: - | server 1: 5 | server 2: - | server 3: - | server 4: - | server 5: - | server 6: 3,4 | server 7: - | server 8: 4 | server 9: 3,5"
33,33,after_slot_decision,"ADD:4,7;ADD:5,7;ADD:6,1;ADD:6,5;ADD:6,7;REMOVE:3,6;REMOVE:3,9;REMOVE:4,6;REMOVE:5,1","server 0: - | server 1: 6 | server 2: - | server 3: - | server 4: - | server 5: 6 | server 6: - | server 7: 4,5,6 | server 8: 4 | server 9: 5"
34,34,after_slot_decision,"ADD:4,4;REMOVE:4,7;REMOVE:5,7;REMOVE:5,9;REMOVE:6,1;REMOVE:6,5;REMOVE:6,7",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 4 | server 5: - | server 6: - | server 7: - | server 8: 4 | server 9: -
35,35,after_slot_decision,"ADD:4,1;ADD:4,9;ADD:6,2;ADD:6,7;REMOVE:4,4;REMOVE:4,8",server 0: - | server 1: 4 | server 2: 6 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 6 | server 8: - | server 9: 4
36,36,after_slot_decision,"ADD:3,7;ADD:3,8;ADD:4,2;ADD:4,7;ADD:5,3;ADD:5,9;ADD:6,1;ADD:6,5;REMOVE:4,1;REMOVE:4,9;REMOVE:6,2","server 0: - | server 1: 6 | server 2: 4 | server 3: 5 | server 4: - | server 5: 6 | server 6: - | server 7: 3,4,6 | server 8: 3 | server 9: 5"
37,37,after_slot_decision,"ADD:4,1;ADD:4,9;ADD:6,9;REMOVE:3,7;REMOVE:3,8;REMOVE:4,2;REMOVE:4,7;REMOVE:5,3;REMOVE:5,9;REMOVE:6,1","server 0: - | server 1: 4 | server 2: - | server 3: - | server 4: - | server 5: 6 | server 6: - | server 7: 6 | server 8: - | server 9: 4,6"
38,38,after_slot_decision,"ADD:4,6;REMOVE:4,1;REMOVE:6,5","server 0: - | server 1: - | server 2: - | server 3: - | server 4: - | server 5: - | server 6: 4 | server 7: 6 | server 8: - | server 9: 4,6"
39,39,after_slot_decision,"ADD:4,7;ADD:6,4;ADD:6,8;REMOVE:4,6;REMOVE:6,7;REMOVE:6,9",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 6 | server 5: - | server 6: - | server 7: 4 | server 8: 6 | server 9: 4
40,40,after_slot_decision,"ADD:2,2;ADD:2,7;ADD:4,6;ADD:4,8;REMOVE:4,7;REMOVE:4,9;REMOVE:6,4;REMOVE:6,8",server 0: - | server 1: - | server 2: 2 | server 3: - | server 4: - | server 5: - | server 6: 4 | server 7: 2 | server 8: 4 | server 9: -
41,41,after_slot_decision,"ADD:2,1;ADD:2,9;ADD:4,7;ADD:5,4;ADD:5,8;ADD:6,6;ADD:6,9;REMOVE:2,2;REMOVE:2,7;REMOVE:4,6","server 0: - | server 1: 2 | server 2: - | server 3: - | server 4: 5 | server 5: - | server 6: 6 | server 7: 4 | server 8: 4,5 | server 9: 2,6"
42,42,after_slot_decision,"ADD:4,0;ADD:4,2;ADD:6,2;REMOVE:2,1;REMOVE:2,9;REMOVE:4,8;REMOVE:6,6","server 0: 4 | server 1: - | server 2: 4,6 | server 3: - | server 4: 5 | server 5: - | server 6: - | server 7: 4 | server 8: 5 | server 9: 6"
43,43,after_slot_decision,"ADD:4,6;ADD:4,9;ADD:6,7;REMOVE:4,0;REMOVE:4,2;REMOVE:4,7;REMOVE:5,4;REMOVE:5,8;REMOVE:6,2","server 0: - | server 1: - | server 2: - | server 3: - | server 4: - | server 5: - | server 6: 4 | server 7: 6 | server 8: - | server 9: 4,6"
44,44,after_slot_decision,"ADD:4,2;REMOVE:4,6;REMOVE:6,7;REMOVE:6,9",server 0: - | server 1: - | server 2: 4 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: 4
45,45,after_slot_decision,"ADD:4,8;REMOVE:4,9",server 0: - | server 1: - | server 2: 4 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: 4 | server 9: -
46,46,after_slot_decision,"ADD:4,7;ADD:6,2;ADD:6,9","server 0: - | server 1: - | server 2: 4,6 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 4 | server 8: 4 | server 9: 6"
47,47,after_slot_decision,"ADD:3,4;ADD:3,8;ADD:5,1;ADD:5,9;ADD:6,5;ADD:6,8;REMOVE:4,2;REMOVE:6,2","server 0: - | server 1: 5 | server 2: - | server 3: - | server 4: 3 | server 5: 6 | server 6: - | server 7: 4 | server 8: 3,4,6 | server 9: 5,6"
48,48,after_slot_decision,"ADD:4,6;REMOVE:3,4;REMOVE:3,8;REMOVE:4,7;REMOVE:5,1;REMOVE:5,9;REMOVE:6,5;REMOVE:6,8;REMOVE:6,9",server 0: - | server 1: - | server 2: - | server 3: - | server 4: - | server 5: - | server 6: 4 | server 7: - | server 8: 4 | server 9: -
49,49,after_slot_decision,"ADD:4,2;ADD:4,7;REMOVE:4,6;REMOVE:4,8",server 0: - | server 1: - | server 2: 4 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 4 | server 8: - | server 9: -
50,50,after_slot_decision,"ADD:4,9;ADD:6,2;ADD:6,9;REMOVE:4,2","server 0: - | server 1: - | server 2: 6 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 4 | server 8: - | server 9: 4,6"
51,51,after_slot_decision,"ADD:4,5;ADD:5,6;ADD:5,9;REMOVE:6,2;REMOVE:6,9","server 0: - | server 1: - | server 2: - | server 3: - | server 4: - | server 5: 4 | server 6: 5 | server 7: 4 | server 8: - | server 9: 4,5"
52,52,after_slot_decision,"ADD:1,5;ADD:1,7;ADD:1,9;ADD:4,2;ADD:4,8;REMOVE:4,5;REMOVE:4,9","server 0: - | server 1: - | server 2: 4 | server 3: - | server 4: - | server 5: 1 | server 6: 5 | server 7: 1,4 | server 8: 4 | server 9: 1,5"
53,53,after_slot_decision,"ADD:4,5;ADD:5,5;ADD:5,7;ADD:6,1;ADD:6,9;REMOVE:1,5;REMOVE:1,7;REMOVE:1,9;REMOVE:4,2;REMOVE:4,7;REMOVE:5,6","server 0: - | server 1: 6 | server 2: - | server 3: - | server 4: - | server 5: 4,5 | server 6: - | server 7: 5 | server 8: 4 | server 9: 5,6"
54,54,after_slot_decision,"ADD:4,2;ADD:4,9;REMOVE:4,5;REMOVE:4,8;REMOVE:5,5;REMOVE:5,7;REMOVE:5,9;REMOVE:6,1;REMOVE:6,9",server 0: - | server 1: - | server 2: 4 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: 4
55,55,after_slot_decision,"ADD:3,7;ADD:3,9;ADD:4,7;ADD:4,8;ADD:6,1;ADD:6,9;REMOVE:4,2","server 0: - | server 1: 6 | server 2: - | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 3,4 | server 8: 4 | server 9: 3,4,6"
56,56,after_slot_decision,"ADD:1,1;ADD:1,9;ADD:3,4;ADD:3,8;ADD:6,2;REMOVE:3,7;REMOVE:3,9;REMOVE:4,8;REMOVE:6,1","server 0: - | server 1: 1 | server 2: 6 | server 3: - | server 4: 3 | server 5: - | server 6: - | server 7: 4 | server 8: 3 | server 9: 1,4,6"
57,57,after_slot_decision,"ADD:2,1;ADD:2,9;ADD:5,7;ADD:5,9;ADD:6,8;REMOVE:1,1;REMOVE:1,9;REMOVE:3,4;REMOVE:3,8","server 0: - | server 1: 2 | server 2: 6 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 4,5 | server 8: 6 | server 9: 2,4,5,6"
58,58,after_slot_decision,"ADD:2,6;ADD:2,7;ADD:4,2;ADD:5,1;ADD:6,0;ADD:6,7;REMOVE:2,9;REMOVE:4,7;REMOVE:5,7;REMOVE:6,2;REMOVE:6,8;REMOVE:6,9","server 0: 6 | server 1: 2,5 | server 2: 4 | server 3: - | server 4: - | server 5: - | server 6: 2 | server 7: 2,6 | server 8: - | server 9: 4,5"
59,59,after_slot_decision,"ADD:3,2;ADD:3,9;ADD:4,3;ADD:4,8;ADD:5,4;ADD:5,8;REMOVE:2,1;REMOVE:2,6;REMOVE:2,7;REMOVE:4,2;REMOVE:4,9;REMOVE:5,1;REMOVE:5,9;REMOVE:6,0;REMOVE:6,7","server 0: - | server 1: - | server 2: 3 | server 3: 4 | server 4: 5 | server 5: - | server 6: - | server 7: - | server 8: 4,5 | server 9: 3"
60,60,after_slot_decision,"ADD:3,1;ADD:4,1;ADD:4,9;ADD:5,5;REMOVE:3,2;REMOVE:4,3;REMOVE:4,8;REMOVE:5,4","server 0: - | server 1: 3,4 | server 2: - | server 3: - | server 4: - | server 5: 5 | server 6: - | server 7: - | server 8: 5 | server 9: 3,4"
61,61,after_slot_decision,"ADD:3,7;ADD:5,2;ADD:5,9;REMOVE:3,1;REMOVE:4,1;REMOVE:4,9;REMOVE:5,5;REMOVE:5,8","server 0: - | server 1: - | server 2: 5 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 3 | server 8: - | server 9: 3,5"
62,62,after_slot_decision,"ADD:4,4;ADD:4,8;REMOVE:3,7;REMOVE:3,9;REMOVE:5,2;REMOVE:5,9",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 4 | server 5: - | server 6: - | server 7: - | server 8: 4 | server 9: -
63,63,after_slot_decision,"ADD:2,4;ADD:2,8;ADD:3,8;ADD:3,9;ADD:5,2;ADD:5,9;REMOVE:4,4;REMOVE:4,8","server 0: - | server 1: - | server 2: 5 | server 3: - | server 4: 2 | server 5: - | server 6: - | server 7: - | server 8: 2,3 | server 9: 3,5"
64,64,after_slot_decision,"ADD:4,4;ADD:4,8;ADD:6,7;ADD:6,9;REMOVE:3,8;REMOVE:3,9","server 0: - | server 1: - | server 2: 5 | server 3: - | server 4: 2,4 | server 5: - | server 6: - | server 7: 6 | server 8: 2,4 | server 9: 5,6"
65,65,after_slot_decision,"ADD:0,3;ADD:0,9;ADD:2,2;ADD:2,6;ADD:4,6;REMOVE:2,4;REMOVE:4,4;REMOVE:5,2;REMOVE:5,9;REMOVE:6,7;REMOVE:6,9","server 0: - | server 1: - | server 2: 2 | server 3: 0 | server 4: - | server 5: - | server 6: 2,4 | server 7: - | server 8: 2,4 | server 9: 0"
66,66,after_slot_decision,"ADD:0,0;ADD:0,2;ADD:0,7;ADD:1,2;ADD:1,9;ADD:2,7;REMOVE:0,3;REMOVE:0,9;REMOVE:2,6;REMOVE:2,8;REMOVE:4,6;REMOVE:4,8","server 0: 0 | server 1: - | server 2: 0,1,2 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 0,2 | server 8: - | server 9: 1"
67,67,after_slot_decision,"ADD:0,1;ADD:1,7;ADD:1,8;ADD:2,4;REMOVE:0,2;REMOVE:1,9;REMOVE:2,2","server 0: 0 | server 1: 0 | server 2: 1 | server 3: - | server 4: 2 | server 5: - | server 6: - | server 7: 0,1,2 | server 8: 1 | server 9: -"
68,68,after_slot_decision,"ADD:1,6;ADD:2,9;ADD:4,7;ADD:4,9;REMOVE:0,0;REMOVE:0,1;REMOVE:0,7;REMOVE:1,2;REMOVE:1,8;REMOVE:2,4","server 0: - | server 1: - | server 2: - | server 3: - | server 4: - | server 5: - | server 6: 1 | server 7: 1,2,4 | server 8: - | server 9: 2,4"
69,69,after_slot_decision,"ADD:1,2;ADD:1,9;ADD:2,8;REMOVE:1,6;REMOVE:2,9;REMOVE:4,7;REMOVE:4,9","server 0: - | server 1: - | server 2: 1 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 1,2 | server 8: 2 | server 9: 1"
70,70,after_slot_decision,"ADD:2,1;ADD:2,3;ADD:2,5;ADD:3,0;ADD:3,7;ADD:4,1;ADD:4,3;ADD:5,0;ADD:5,2;REMOVE:1,9;REMOVE:2,7;REMOVE:2,8","server 0: 3,5 | server 1: 2,4 | server 2: 1,5 | server 3: 2,4 | server 4: - | server 5: 2 | server 6: - | server 7: 1,3 | server 8: - | server 9: -"
71,71,after_slot_decision,"ADD:2,0;ADD:2,7;ADD:3,4;ADD:3,8;REMOVE:1,2;REMOVE:1,7;REMOVE:2,1;REMOVE:2,3;REMOVE:2,5;REMOVE:3,0;REMOVE:3,7;REMOVE:4,1;REMOVE:4,3;REMOVE:5,0;REMOVE:5,2",server 0: 2 | server 1: - | server 2: - | server 3: - | server 4: 3 | server 5: - | server 6: - | server 7: 2 | server 8: 3 | server 9: -
72,72,after_slot_decision,"ADD:2,9;ADD:3,7;ADD:3,9;ADD:4,2;ADD:4,7;ADD:6,4;ADD:6,8;REMOVE:2,0;REMOVE:3,4;REMOVE:3,8","server 0: - | server 1: - | server 2: 4 | server 3: - | server 4: 6 | server 5: - | server 6: - | server 7: 2,3,4 | server 8: 6 | server 9: 2,3"
73,73,after_slot_decision,"ADD:4,9;REMOVE:2,7;REMOVE:2,9;REMOVE:3,7;REMOVE:3,9;REMOVE:4,7;REMOVE:6,4;REMOVE:6,8",server 0: - | server 1: - | server 2: 4 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: 4
74,74,after_slot_decision,"ADD:5,1;ADD:5,9;REMOVE:4,2;REMOVE:4,9",server 0: - | server 1: 5 | server 2: - | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: 5
75,75,after_slot_decision,"ADD:4,4;ADD:4,8;ADD:5,2;ADD:5,7;REMOVE:5,1;REMOVE:5,9",server 0: - | server 1: - | server 2: 5 | server 3: - | server 4: 4 | server 5: - | server 6: - | server 7: 5 | server 8: 4 | server 9: -
76,76,after_slot_decision,"REMOVE:5,2;REMOVE:5,7",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 4 | server 5: - | server 6: - | server 7: - | server 8: 4 | server 9: -
77,77,after_slot_decision,"ADD:3,1;ADD:3,9;ADD:4,2;ADD:4,3;ADD:4,7;ADD:6,4;ADD:6,8;REMOVE:4,4;REMOVE:4,8",server 0: - | server 1: 3 | server 2: 4 | server 3: 4 | server 4: 6 | server 5: - | server 6: - | server 7: 4 | server 8: 6 | server 9: 3
78,78,after_slot_decision,"ADD:1,4;ADD:1,8;ADD:4,9;ADD:6,3;ADD:6,9;REMOVE:3,1;REMOVE:3,9;REMOVE:4,2;REMOVE:4,7;REMOVE:6,4;REMOVE:6,8","server 0: - | server 1: - | server 2: - | server 3: 4,6 | server 4: 1 | server 5: - | server 6: - | server 7: - | server 8: 1 | server 9: 4,6"
79,79,after_slot_decision,"ADD:1,2;ADD:1,7;ADD:2,7;ADD:2,8;ADD:3,8;ADD:3,9;ADD:4,1;ADD:6,1;REMOVE:1,4;REMOVE:4,9;REMOVE:6,9","server 0: - | server 1: 4,6 | server 2: 1 | server 3: 4,6 | server 4: - | server 5: - | server 6: - | server 7: 1,2 | server 8: 1,2,3 | server 9: 3"
80,80,after_slot_decision,"ADD:1,9;ADD:2,2;ADD:3,4;ADD:4,6;ADD:4,8;REMOVE:1,2;REMOVE:1,8;REMOVE:2,7;REMOVE:3,9;REMOVE:4,1;REMOVE:4,3;REMOVE:6,1;REMOVE:6,3","server 0: - | server 1: - | server 2: 2 | server 3: - | server 4: 3 | server 5: - | server 6: 4 | server 7: 1 | server 8: 2,3,4 | server 9: 1"
81,81,after_slot_decision,"ADD:1,5;ADD:1,8;ADD:2,9;ADD:4,3;ADD:4,9;ADD:5,3;ADD:5,9;REMOVE:1,9;REMOVE:2,8;REMOVE:3,4;REMOVE:3,8;REMOVE:4,6;REMOVE:4,8","server 0: - | server 1: - | server 2: 2 | server 3: 4,5 | server 4: - | server 5: 1 | server 6: - | server 7: 1 | server 8: 1 | server 9: 2,4,5"
82,82,after_slot_decision,"ADD:1,6;ADD:2,6;ADD:2,8;ADD:5,1;REMOVE:1,8;REMOVE:2,2;REMOVE:2,9;REMOVE:4,3;REMOVE:4,9;REMOVE:5,3","server 0: - | server 1: 5 | server 2: - | server 3: - | server 4: - | server 5: 1 | server 6: 1,2 | server 7: 1 | server 8: 2 | server 9: 5"
83,83,after_slot_decision,"ADD:1,2;ADD:1,8;ADD:4,1;ADD:4,9;ADD:6,5;ADD:6,7;ADD:6,9;REMOVE:1,5;REMOVE:1,6;REMOVE:1,7;REMOVE:2,6;REMOVE:2,8;REMOVE:5,1;REMOVE:5,9","server 0: - | server 1: 4 | server 2: 1 | server 3: - | server 4: - | server 5: 6 | server 6: - | server 7: 6 | server 8: 1 | server 9: 4,6"
84,84,after_slot_decision,"ADD:4,4;ADD:4,8;REMOVE:1,2;REMOVE:1,8;REMOVE:4,1;REMOVE:4,9;REMOVE:6,5;REMOVE:6,7;REMOVE:6,9",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 4 | server 5: - | server 6: - | server 7: - | server 8: 4 | server 9: -
85,85,after_slot_decision,"ADD:2,2;ADD:2,7;ADD:4,6;ADD:4,9;ADD:6,2;ADD:6,5;REMOVE:4,4;REMOVE:4,8","server 0: - | server 1: - | server 2: 2,6 | server 3: - | server 4: - | server 5: 6 | server 6: 4 | server 7: 2 | server 8: - | server 9: 4"
86,86,after_slot_decision,"ADD:2,8;ADD:2,9;ADD:4,2;ADD:4,7;ADD:5,4;ADD:5,8;REMOVE:2,2;REMOVE:2,7;REMOVE:4,6;REMOVE:4,9;REMOVE:6,2;REMOVE:6,5","server 0: - | server 1: - | server 2: 4 | server 3: - | server 4: 5 | server 5: - | server 6: - | server 7: 4 | server 8: 2,5 | server 9: 2"
87,87,after_slot_decision,"ADD:2,4;ADD:3,3;ADD:3,9;ADD:5,7;REMOVE:2,9;REMOVE:4,2;REMOVE:4,7;REMOVE:5,4","server 0: - | server 1: - | server 2: - | server 3: 3 | server 4: 2 | server 5: - | server 6: - | server 7: 5 | server 8: 2,5 | server 9: 3"
88,88,after_slot_decision,"ADD:3,7;ADD:4,2;ADD:4,8;ADD:6,3;ADD:6,9;REMOVE:2,4;REMOVE:2,8;REMOVE:3,3;REMOVE:5,7;REMOVE:5,8","server 0: - | server 1: - | server 2: 4 | server 3: 6 | server 4: - | server 5: - | server 6: - | server 7: 3 | server 8: 4 | server 9: 3,6"
